activation,layers,width,mse,mse_left,mse_right,train_time_sec
tanh,9,5,54.25767135620117,16.556835174560547,37.700836181640625,7.394235134124756
tanh,9,6,52.15195655822754,14.429216384887695,37.722740173339844,7.5432350635528564
tanh,9,7,54.27732849121094,16.552471160888672,37.724857330322266,7.767245054244995
tanh,9,8,54.28019332885742,16.555099487304688,37.725093841552734,7.392899751663208
tanh,9,9,54.2802677154541,16.5550594329834,37.7252082824707,7.732900142669678
tanh,9,10,54.27998352050781,16.554866790771484,37.72511672973633,7.887720346450806
tanh,9,11,54.27967071533203,16.554462432861328,37.7252082824707,8.288794040679932
tanh,9,12,50.762518882751465,13.037463188171387,37.72505569458008,7.9778361320495605
tanh,9,13,54.28006362915039,16.554710388183594,37.7253532409668,8.098353862762451
tanh,9,14,49.49484634399414,11.769523620605469,37.72532272338867,8.28221583366394
tanh,9,15,49.40976047515869,11.684399604797363,37.72536087036133,8.74225401878357
tanh,9,16,10.784208036959171,10.699311256408691,0.08489678055047989,7.979676008224487
tanh,9,17,48.645263671875,10.919971466064453,37.72529220581055,8.341808080673218
tanh,9,18,11.98179492354393,11.609792709350586,0.3720022141933441,8.272983074188232
tanh,9,19,48.11229133605957,10.386983871459961,37.72530746459961,8.503612995147705
tanh,9,20,49.28079605102539,11.555610656738281,37.72518539428711,8.523998975753784
tanh,10,1,35.00197982788086,17.001970291137695,18.000009536743164,7.758616209030151
tanh,10,2,41.879493713378906,16.556190490722656,25.32330322265625,7.987423896789551
tanh,10,3,50.47296714782715,16.55451011657715,33.91845703125,8.108381986618042
tanh,10,4,53.20343017578125,15.807804107666016,37.395626068115234,7.8993446826934814
tanh,10,5,54.27408790588379,16.555742263793945,37.718345642089844,8.251560926437378
tanh,10,6,54.27727508544922,16.555561065673828,37.72171401977539,8.39224100112915
tanh,10,7,49.99971008300781,12.274627685546875,37.72508239746094,8.34024429321289
tanh,10,8,50.779351234436035,13.054276466369629,37.725074768066406,8.2554030418396
tanh,10,9,54.27887725830078,16.553783416748047,37.725093841552734,8.488357782363892
tanh,10,10,54.27989959716797,16.55474853515625,37.72515106201172,8.529078960418701
tanh,10,11,54.3298225402832,16.604515075683594,37.72530746459961,8.840226888656616
tanh,10,12,48.10695171356201,10.381617546081543,37.72533416748047,8.654315710067749
tanh,10,13,54.27956771850586,16.554275512695312,37.72529220581055,8.892841100692749
tanh,10,14,52.780301094055176,15.055092811584473,37.7252082824707,9.08618974685669
tanh,10,15,50.1567907333374,12.431479454040527,37.725311279296875,9.678000926971436
tanh,10,16,54.27986526489258,16.55455780029297,37.72530746459961,9.033452987670898
tanh,10,17,48.29592800140381,10.570723533630371,37.72520446777344,9.181688785552979
